epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,4,,,0.375,0.7543424367904663,,
0,9,,,0.1875,0.8249324560165405,,
0,14,,,0.25,0.7862347364425659,,
0,19,,,0.3125,0.7602759599685669,,
0,24,,,0.375,0.7435064911842346,,
0,29,,,0.25,0.769173264503479,,
0,34,,,0.25,0.7694572806358337,,
0,39,,,0.3125,0.7490764856338501,,
0,44,,,0.375,0.7376501560211182,,
0,49,,,0.3125,0.7528903484344482,,
0,54,,,0.3125,0.7445051670074463,,
0,59,,,0.3125,0.7383866310119629,,
0,64,,,0.25,0.7525804042816162,,
0,69,,,0.4375,0.7249927520751953,,
0,74,,,0.125,0.7843574285507202,,
0,79,,,0.25,0.749443531036377,,
0,84,,,0.125,0.7743544578552246,,
0,89,,,0.25,0.7490494251251221,,
0,94,,,0.375,0.7237653732299805,,
0,99,,,0.125,0.7612468004226685,,
0,104,,,0.125,0.7539792656898499,,
0,109,,,0.1875,0.7421900629997253,,
0,114,,,0.3125,0.7224041819572449,,
0,119,,,0.375,0.7126389741897583,,
0,124,,,0.375,0.7093748450279236,,
0,129,,,0.125,0.7424902319908142,,
0,134,,,0.1875,0.7345143556594849,,
0,139,,,0.3125,0.7083942890167236,,
0,144,,,0.125,0.7418901920318604,,
0,149,,,0.3125,0.7105308771133423,,
0,154,,,0.125,0.7351876497268677,,
0,159,,,0.125,0.7288151979446411,,
0,164,,,0.25,0.7223999500274658,,
0,169,,,0.3125,0.713848888874054,,
0,174,,,0.375,0.6967601180076599,,
0,174,,,,,0.2866666615009308,0.7055799961090088
1,175,0.2849999964237213,0.7056397199630737,,,,
