datetime,game_start,league,team_a,team_b,current_points_spread,current_points_total,game_duration,bookmaker,market_type,thresh,side,price_current
2026-03-15 23:01:48,2026-03-15 23:00:00,NHL,Edmonton Oilers,Colorado Avalanche,0.0,0.0,0.16,BetMGM,MONEYLINE,0.0,NA,152.46
2026-04-14 12:39:00,2026-04-16 22:00:00,NHL,Vegas Golden Knights,Toronto Maple Leafs,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,107.86
2026-03-21 04:36:56,2026-03-21 05:00:00,NBA,Phoenix Suns,Miami Heat,0.0,0.0,0.383,BetMGM,MONEYLINE,0.0,NA,100.0
2026-03-15 10:33:00,2026-03-17 12:00:00,NFL,Baltimore Ravens,Dallas Cowboys,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,153.07
2026-03-22 19:31:02,2026-03-22 19:00:00,NFL,San Francisco 49ers,Miami Dolphins,0.0,48.2,0.278,Fanduel,POINTS_TOTAL,46.6,0,100.0
2026-04-14 19:17:00,2026-04-17 10:00:00,NHL,Toronto Maple Leafs,Edmonton Oilers,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,8.1,0,113.65
2026-02-23 06:01:00,2026-02-25 22:00:00,NHL,Florida Panthers,New York Rangers,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,126.71
2026-03-14 22:59:00,2026-03-17 13:00:00,NFL,Detroit Lions,Kansas City Chiefs,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,100.0
2026-03-06 05:51:00,2026-03-06 06:00:00,NBA,Denver Nuggets,Dallas Mavericks,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,142.87
2026-04-02 05:45:00,2026-04-02 23:00:00,NHL,Edmonton Oilers,Colorado Avalanche,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,5.8,1,109.66
2026-02-24 15:30:00,2026-02-25 23:00:00,NBA,Phoenix Suns,Milwaukee Bucks,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,227.2,1,132.75
2026-02-26 17:33:00,2026-02-28 18:00:00,NFL,Buffalo Bills,Kansas City Chiefs,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,24.1,1,116.46
2026-02-26 08:33:00,2026-02-26 22:00:00,NFL,Buffalo Bills,Philadelphia Eagles,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,102.04
2026-03-31 06:57:02,2026-03-31 07:00:00,NBA,Miami Heat,Denver Nuggets,0.0,0.0,0.678,Fanduel,MONEYLINE,0.0,NA,100.0
2026-04-06 21:25:19,2026-04-06 19:00:00,NHL,Carolina Hurricanes,New York Rangers,0.0,9.9,0.924,Fanduel,POINTS_TOTAL,5.2,1,111.46
2026-03-19 01:01:00,2026-03-19 11:00:00,NHL,New York Rangers,Vegas Golden Knights,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,3.5,1,100.0
2026-04-08 20:21:27,2026-04-08 19:00:00,NHL,Colorado Avalanche,Toronto Maple Leafs,2.7,0.0,0.647,Fanduel,POINTS_SPREAD,1.9,1,111.84
2026-03-27 17:32:00,2026-03-30 04:00:00,NFL,San Francisco 49ers,Detroit Lions,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,43.1,0,110.14
2026-04-06 22:26:00,2026-04-09 06:00:00,NBA,Milwaukee Bucks,Denver Nuggets,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,109.61
2026-03-05 11:10:00,2026-03-06 02:00:00,NFL,Buffalo Bills,San Francisco 49ers,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,1.1,0,100.0
2026-04-14 07:43:00,2026-04-16 05:00:00,NBA,Los Angeles Lakers,Denver Nuggets,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,120.84
2026-04-10 14:20:46,2026-04-10 16:00:00,NFL,Baltimore Ravens,Buffalo Bills,0.0,49.1,0.071,Fanduel,POINTS_TOTAL,41.1,1,100.0
2026-03-16 14:44:00,2026-03-17 17:00:00,NFL,Philadelphia Eagles,Detroit Lions,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,40.4,1,118.28
2026-03-05 08:11:00,2026-03-06 23:00:00,NHL,Carolina Hurricanes,Florida Panthers,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.8,0,123.85
2026-04-18 15:22:00,2026-04-20 22:00:00,NHL,Vegas Golden Knights,Toronto Maple Leafs,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,105.38
2026-04-09 01:30:25,2026-04-09 01:00:00,NHL,Carolina Hurricanes,Colorado Avalanche,0.0,9.1,0.819,BetMGM,POINTS_TOTAL,12.1,1,115.05
2026-04-04 14:16:00,2026-04-05 23:00:00,NHL,New York Rangers,Florida Panthers,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.2,0,107.14
2026-03-24 14:19:00,2026-03-27 06:00:00,NBA,Milwaukee Bucks,Phoenix Suns,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,5.7,1,113.48
